friponnes,fʁi.pɔ̃,f,"['nom', 'verbe', 'adjectif']"
friponnés,fʁi.pɔ.ne,,['verbe']
friponnez,fʁi.pɔ.ne,,['verbe']
friponniez,fʁi.pɔ.nje,,['verbe']
friponnions,fʁi.pɔ.njɔ̃,,['verbe']
friponnons,fʁi.pɔ.nɔ̃,,['verbe']
fripons,fʁi.pɔ̃,m,"['nom', 'verbe', 'adjectif']"
fripouille,fʁi.puj,f,['nom']
fripouillerie,fʁi.pu.jʁi,f,['nom']
fripouilleries,fʁi.pu.jʁi,f,['nom']
fripouilles,fʁi.puj,f,['nom']
friqué,fʁi.ke,,"['verbe', 'adjectif']"
friquée,fʁi.ke,,['adjectif']
friquées,fʁi.ke,,['adjectif']
friqués,fʁi.ke,,['adjectif']
friquet,fʁi.kɛ,m,['nom']
friquets,fʁi.kɛ,m,['nom']
frira,fʁi.ʁa,,['verbe']
frirai,fʁi.ʁe,,['verbe']
friraient,fʁi.ʁɛ,,['verbe']
frirais,fʁi.ʁɛ,,['verbe']
frirait,fʁi.ʁɛ,,['verbe']
friras,fʁi.ʁa,,['verbe']
frire,fʁiʁ,,"['verbe 2', 'verbe', 'verbe 1']"
frirent,fʁiʁ,,['verbe']
frirez,fʁi.ʁe,,['verbe']
fririez,fʁi.ʁje,,['verbe']
fririons,fʁi.ʁjɔ̃,,['verbe']
frirons,fʁi.ʁɔ̃,,['verbe']
friront,fʁi.ʁɔ̃,,['verbe']
fris,fʁi,,['verbe']
frisa,fʁi.za,,['verbe']
frisage,fʁi.zaʒ,m,['nom']
frisages,fʁi.zaʒ,m,['nom']
frisai,fʁi.ze,,['verbe']
frisaient,fʁi.zɛ,,['verbe']
frisais,fʁi.zɛ,,['verbe']
frisait,fʁi.zɛ,,['verbe']
frisâmes,fʁi.zam,,['verbe']
frisant,fʁi.zɑ̃,,"['verbe', 'adjectif']"
frisante,fʁi.zɑ̃t,,['adjectif']
frisantes,fʁi.zɑ̃,,['adjectif']
frisants,fʁi.zɑ̃,,['adjectif']
frisas,fʁi.za,,['verbe']
frisasse,fʁi.zas,,['verbe']
frisassent,fʁi.zas,,['verbe']
frisasses,fʁi.zas,,['verbe']
frisassiez,fʁi.za.sje,,['verbe']
frisassions,fʁi.za.sjɔ̃,,['verbe']
frisât,fʁi.za,,['verbe']
frisâtes,fʁi.zat,,['verbe']
frise,fʁiz,f,"['nom', 'nom 2', 'nom 1', 'nom 3', 'verbe']"
frisé,fʁi.ze,m,"['nom 1', 'verbe', 'nom 2', 'adjectif']"
frisée,fʁi.ze,f,"['nom 1', 'verbe', 'nom 2', 'adjectif']"
frisées,fʁi.ze,f,"['nom', 'verbe', 'adjectif']"
friselis,fʁi.z(ə).li,m,['nom']
frisent,fʁiz,,['verbe']
friser,fʁi.ze,,['verbe']
frisera,fʁi.zə.ʁa,,['verbe']
friserai,fʁi.zə.ʁe,,['verbe']
friseraient,fʁi.zə.ʁɛ,,['verbe']
friserais,fʁi.zə.ʁɛ,,['verbe']
friserait,fʁi.zə.ʁɛ,,['verbe']
friseras,fʁi.zə.ʁa,,['verbe']
frisèrent,fʁi.zɛʁ,,['verbe']
friserez,fʁi.zə.ʁe,,['verbe']
friseriez,fʁi.zə.ʁje,,['verbe']
friserions,fʁi.zə.ʁjɔ̃,,['verbe']
friserons,fʁi.zə.ʁɔ̃,,['verbe']
friseront,fʁi.zə.ʁɔ̃,,['verbe']
frises,fʁiz,f,"['nom', 'verbe']"
frisés,fʁi.ze,,"['verbe', 'adjectif']"
frisette,fʁi.zɛt,f,"['nom 1', 'nom 2']"
frisettes,fʁi.zɛt,f,['nom']
frisez,fʁi.ze,,['verbe']
frisiez,fʁi.zje,,['verbe']
frisions,fʁi.zjɔ̃,,"['verbe 2', 'verbe 1']"
frisolée,fʁi.zɔ.le,f,['nom']
frisolées,fʁi.zɔ.le,f,['nom']
frison,fʁi.zɔ̃,m,"['nom 1', 'nom 3', 'nom 2', 'adjectif']"
frisonne,fʁi.zɔ̃,f,"['nom 1', 'nom 2', 'adjectif']"
frisonnes,fʁi.zɔ̃,f,"['nom', 'adjectif']"
frisons,fʁi.zɔ̃,m,"['nom', 'verbe', 'adjectif']"
frisotta,fʁi.zɔ.ta,,['verbe']
frisottai,fʁi.zɔ.te,,['verbe']
frisottaient,fʁi.zɔ.tɛ,,['verbe']
frisottais,fʁi.zɔ.tɛ,,['verbe']
frisottait,fʁi.zɔ.tɛ,,['verbe']
frisottâmes,fʁi.zɔ.tam,,['verbe']
frisottant,fʁi.zɔ.tɑ̃,,"['verbe', 'adjectif']"
frisottants,fʁi.zɔ.tɑ̃,,['adjectif']
frisottas,fʁi.zɔ.ta,,['verbe']
frisottasse,fʁi.zɔ.tas,,['verbe']
frisottassent,fʁi.zɔ.tas,,['verbe']
frisottasses,fʁi.zɔ.tas,,['verbe']
frisottassiez,fʁi.zɔ.ta.sje,,['verbe']
frisottassions,fʁi.zɔ.ta.sjɔ̃,,['verbe']
frisottât,fʁi.zɔ.ta,,['verbe']
frisottâtes,fʁi.zɔ.tat,,['verbe']
frisotte,fʁi.zɔt,f,"['nom', 'verbe']"
frisotté,bɔ.te,,"['verbe', 'adjectif']"
frisottée,fʁi.zɔ.te,,"['verbe', 'adjectif']"
frisottées,fʁi.zɔ.te,,['verbe']
frisottent,fʁi.zɔt,,['verbe']
frisotter,fʁi.zɔ.te,,['verbe']
frisottera,fʁi.zɔ.tə.ʁa,,['verbe']
frisotterai,fʁi.zɔ.tə.ʁe,,['verbe']
frisotteraient,fʁi.zɔ.tə.ʁɛ,,['verbe']
frisotterais,fʁi.zɔ.tə.ʁɛ,,['verbe']
frisotterait,fʁi.zɔ.tə.ʁɛ,,['verbe']
frisotteras,fʁi.zɔ.tə.ʁa,,['verbe']
frisottèrent,fʁi.zɔ.tɛʁ,,['verbe']
frisotterez,fʁi.zɔ.tə.ʁe,,['verbe']
frisotteriez,fʁi.zɔ.tə.ʁje,,['verbe']
frisotterions,fʁi.zɔ.tə.ʁjɔ̃,,['verbe']
frisotterons,fʁi.zɔ.tə.ʁɔ̃,,['verbe']
frisotteront,fʁi.zɔ.tə.ʁɔ̃,,['verbe']
frisottes,fʁi.zɔt,,['verbe']
frisottés,fʁi.zɔ.te,,['verbe']
frisottez,fʁi.zɔ.te,,['verbe']
frisottiez,fʁi.zɔ.tje,,['verbe']
frisottions,fʁi.zɔ.tjɔ̃,,['verbe']
frisottis,fʁi.zɔ.ti,m,['nom']
frisottons,fʁi.zɔ.tɔ̃,,['verbe']
frisquet,fʁis.kɛ,m,"['nom', 'adjectif']"
frisquets,fʁis.kɛ,m,"['nom', 'adjectif']"
frisquette,fʁis.kɛt,f,"['nom', 'adjectif']"
frisquettes,fʁis.kɛt,f,['nom']
frisse,fʁis,f,"['nom', 'verbe 2', 'verbe 1']"
frissent,fʁis,,"['verbe 2', 'verbe 1']"
frisses,fʁis,,"['verbe 2', 'verbe 1']"
frissiez,fʁi.sje,,"['verbe 2', 'verbe 1']"
frissions,fʁi.sjɔ̃,,"['verbe 2', 'verbe 1']"
frisson,fʁi.sɔ̃,m,['nom']
frissonna,fʁi.sɔ.na,,['verbe']
frissonnai,fʁi.sɔ.ne,,['verbe']
frissonnaient,fʁi.sɔ.nɛ,,['verbe']
frissonnais,fʁi.sɔ.nɛ,,['verbe']
frissonnait,fʁi.sɔ.nɛ,,['verbe']
frissonnâmes,fʁi.sɔ.nam,,['verbe']
